y,hand1-x0,hand1-x1,hand1-x2,hand1-x3,hand1-x4,hand1-x5,hand1-x6,hand1-x7,hand1-x8,hand1-x9,hand1-x10,hand1-x11,hand1-x12,hand1-x13,hand1-x14,hand1-x15,hand1-x16,hand1-x17,hand1-x18,hand1-x19,hand1-x20,hand1-y0,hand1-y1,hand1-y2,hand1-y3,hand1-y4,hand1-y5,hand1-y6,hand1-y7,hand1-y8,hand1-y9,hand1-y10,hand1-y11,hand1-y12,hand1-y13,hand1-y14,hand1-y15,hand1-y16,hand1-y17,hand1-y18,hand1-y19,hand1-y20,hand2-x0,hand2-x1,hand2-x2,hand2-x3,hand2-x4,hand2-x5,hand2-x6,hand2-x7,hand2-x8,hand2-x9,hand2-x10,hand2-x11,hand2-x12,hand2-x13,hand2-x14,hand2-x15,hand2-x16,hand2-x17,hand2-x18,hand2-x19,hand2-x20,hand2-y0,hand2-y1,hand2-y2,hand2-y3,hand2-y4,hand2-y5,hand2-y6,hand2-y7,hand2-y8,hand2-y9,hand2-y10,hand2-y11,hand2-y12,hand2-y13,hand2-y14,hand2-y15,hand2-y16,hand2-y17,hand2-y18,hand2-y19,hand2-y20,handdistance-0,handdistance-1,handdistance-2,handdistance-3,handdistance-4,handdistance-5,handdistance-6,handdistance-7,handdistance-8,handdistance-9,handdistance-10,handdistance-11,handdistance-12,handdistance-13,handdistance-14,handdistance-15,handdistance-16,handdistance-17,handdistance-18,handdistance-19,handdistance-20
Rat,0,0.066068858,0.085846514,0.092466921,0.100734442,0.037325203,0.067734629,0.09713921,0.112352341,0.018529028,0.063346595,0.089715511,0.101852626,0.007426471,0.070920378,0.094559819,0.102839738,0.00546059,0.070906371,0.099344045,0.115198463,0,-0.060261667,-0.131354213,-0.186248779,-0.234134793,-0.209279537,-0.257720768,-0.264524579,-0.264643133,-0.205744207,-0.257643461,-0.254247963,-0.247129202,-0.189576864,-0.215118289,-0.15995723,-0.111213028,-0.159346581,-0.153096676,-0.119635999,-0.086848676,0,-0.040433705,-0.092448652,-0.143119693,-0.179201901,-0.09677577,-0.179904163,-0.197153449,-0.193199217,-0.086067498,-0.177375466,-0.195932448,-0.195192188,-0.078859568,-0.165616602,-0.190140456,-0.197697371,-0.074925065,-0.143825173,-0.173999369,-0.194709212,0,-0.051560163,-0.073412299,-0.060389876,-0.037424505,-0.118058145,-0.092127264,-0.04796344,-0.02322042,-0.079231501,-0.043315351,0.0023669,0.027879298,-0.028966069,0.00468415,0.044222057,0.066829145,0.02333498,0.049808919,0.069428086,0.080152929,0,0.106857438,0.187473815,0.267098326,0.34213929,0.162186354,0.297902971,0.365385954,0.389418388,0.164152058,0.322309865,0.383986907,0.404802787,0.182321441,0.322897592,0.350347581,0.349315859,0.199585586,0.295432423,0.332358015,0.352040201
Rat,0,-0.036703408,-0.075031221,-0.110954821,-0.142580271,-0.091777861,-0.147627085,-0.175710469,-0.177776158,-0.094923615,-0.180375069,-0.194900215,-0.183475494,-0.096135795,-0.178691089,-0.193455547,-0.185776234,-0.095259488,-0.16300714,-0.182308108,-0.182682514,0,-0.059575975,-0.100585639,-0.117282391,-0.115484536,-0.131016672,-0.177437335,-0.152379572,-0.119200468,-0.101359367,-0.112731755,-0.070969999,-0.046579301,-0.058138609,-0.060982525,-0.026426733,-0.007789612,-0.010307252,-0.017654359,-0.002515852,0.008664131,0,0.056831062,0.093954414,0.12242794,0.128460407,0.029748857,0.074166507,0.105062127,0.116468132,0.012362272,0.071112812,0.098576158,0.108231604,0.00428766,0.07264626,0.093337715,0.098140448,0.006398678,0.071406871,0.095317006,0.106973946,0,-0.037394524,-0.084991395,-0.119168282,-0.140972376,-0.190834582,-0.215248942,-0.180934131,-0.150916874,-0.191645205,-0.221703351,-0.183212459,-0.153716505,-0.177856922,-0.195583105,-0.141165376,-0.099266231,-0.150014102,-0.14334482,-0.105682671,-0.07504797,0,0.096128631,0.16970364,0.233390381,0.27223644,0.135450824,0.224993589,0.28222086,0.295948699,0.140220519,0.274082037,0.314208134,0.310759411,0.156260503,0.285110118,0.308893722,0.298289548,0.172778432,0.265985,0.296174098,0.301510499
Rat,0,-0.038764119,-0.07851702,-0.114155293,-0.144191742,-0.092738688,-0.150873512,-0.173387051,-0.170283765,-0.097378671,-0.178572208,-0.196603119,-0.188831657,-0.098854244,-0.176118761,-0.196823418,-0.19464165,-0.098961949,-0.161744058,-0.185237467,-0.191013753,0,-0.05898267,-0.098407984,-0.113430262,-0.113490522,-0.122435451,-0.166594267,-0.140281379,-0.11068362,-0.090453684,-0.09956491,-0.057487965,-0.029458821,-0.047003388,-0.049522281,-0.01715827,0.002922595,0.000301301,-0.010406077,9.06E-06,0.009254813,0,0.060604751,0.090619445,0.113266885,0.125085294,0.042852372,0.073487163,0.101020217,0.119239032,0.021511436,0.058113366,0.084715545,0.102561355,0.008429229,0.066384912,0.088930666,0.097523034,0.007419139,0.069706291,0.097156346,0.111235023,0,-0.043624818,-0.087478161,-0.118396461,-0.147593021,-0.196729064,-0.241373956,-0.253685176,-0.255717337,-0.195779145,-0.256075442,-0.26546514,-0.26600498,-0.182151616,-0.209056437,-0.164282322,-0.119858384,-0.154509127,-0.149129808,-0.116752088,-0.084174037,0,0.100548675,0.169489247,0.227476395,0.271427896,0.154610726,0.236494639,0.296917109,0.323818204,0.158834222,0.283752723,0.349849534,0.375318495,0.172553722,0.290274316,0.321404548,0.3169154,0.187838241,0.269839837,0.305580483,0.316359404
Rat,0,-0.036102116,-0.069512427,-0.100758731,-0.130499929,-0.082574308,-0.132133096,-0.154839694,-0.156346112,-0.088327825,-0.169850469,-0.173873484,-0.157849252,-0.09212482,-0.171468556,-0.174476385,-0.160286397,-0.095205069,-0.160204649,-0.171008438,-0.164478004,0,-0.056500435,-0.100830019,-0.117737889,-0.118738115,-0.139172256,-0.196166486,-0.185771644,-0.16574809,-0.119542062,-0.120276451,-0.076597929,-0.057441831,-0.085819721,-0.075383127,-0.035379827,-0.019640744,-0.048076153,-0.042716146,-0.02050513,-0.009152532,0,0.053286105,0.084467262,0.107037634,0.119722158,0.028136581,0.064294308,0.094536215,0.104770511,0.009839803,0.061919898,0.089631647,0.098015755,-0.000778019,0.058091491,0.083424121,0.09219268,-0.002686381,0.061427683,0.089192241,0.103184015,0,-0.035551906,-0.078060746,-0.110220969,-0.142846286,-0.186329246,-0.208907902,-0.167513669,-0.127207518,-0.192317545,-0.220149875,-0.17312026,-0.13084197,-0.183449864,-0.21418488,-0.162992358,-0.116428912,-0.159515858,-0.150966644,-0.115033627,-0.082994103,0,0.091810103,0.155654053,0.207932281,0.25138078,0.120335708,0.196840212,0.250043392,0.263945576,0.122201285,0.252373143,0.280627002,0.266185053,0.133700721,0.268260586,0.287745772,0.270395328,0.144839619,0.246655754,0.276839358,0.277660825
Rat,0,-0.040011823,-0.078998923,-0.116541147,-0.149630904,-0.095737398,-0.164497435,-0.186401665,-0.181186199,-0.095807672,-0.180512726,-0.185081959,-0.168653429,-0.094584048,-0.177242339,-0.180958509,-0.16603899,-0.093293369,-0.16232574,-0.171628892,-0.164605558,0,-0.06080991,-0.103606224,-0.121619046,-0.123671949,-0.154663444,-0.182919323,-0.151339948,-0.118371069,-0.127837598,-0.103884697,-0.055032372,-0.035509288,-0.084817767,-0.056782126,-0.013751984,0.002088964,-0.035989761,-0.018105686,0.006501853,0.016252279,0,0.053514868,0.084426314,0.109072357,0.128432125,0.024902672,0.069809169,0.097685248,0.108113319,0.009615332,0.066666335,0.09125641,0.099443883,0.003397077,0.064609319,0.088072628,0.096481115,0.005243927,0.069345504,0.098428577,0.114669949,0,-0.032108426,-0.074936032,-0.10869199,-0.135100901,-0.180746734,-0.195950747,-0.154275417,-0.112803459,-0.187342107,-0.211403966,-0.163763642,-0.121283293,-0.178400755,-0.207480848,-0.163590789,-0.120341539,-0.154472947,-0.14000839,-0.106470704,-0.075648606,0,0.097831575,0.165921029,0.225983544,0.278297806,0.123427567,0.234668708,0.284102079,0.289353088,0.121056996,0.269551259,0.296960238,0.281484188,0.135491979,0.284960223,0.307943859,0.289665382,0.15410342,0.261785856,0.292735095,0.294007791
Rat,0,-0.039533317,-0.086749077,-0.134626448,-0.173837543,-0.091982484,-0.15410772,-0.184019834,-0.190514773,-0.094239831,-0.18173492,-0.17510888,-0.152746439,-0.09721905,-0.180546612,-0.170751274,-0.150208384,-0.100702524,-0.16987288,-0.165220767,-0.147966683,0,-0.065383971,-0.116497278,-0.131298363,-0.128042698,-0.174192309,-0.214763939,-0.190591872,-0.161574841,-0.143964231,-0.118600249,-0.077693343,-0.070941687,-0.09741044,-0.065365791,-0.031170845,-0.029511988,-0.046446502,-0.022143781,0.000500321,0.001982331,0,0.056397587,0.091604888,0.119346678,0.136089325,0.047069877,0.086251438,0.110784411,0.116768301,0.027227253,0.081032336,0.109135807,0.116079867,0.014189333,0.075402617,0.103518307,0.112665296,0.007724047,0.070529997,0.099216223,0.112254202,0,-0.035543799,-0.079207242,-0.108637989,-0.139251709,-0.184493303,-0.209680498,-0.164721191,-0.122214794,-0.18869853,-0.21600008,-0.165275276,-0.117516398,-0.177829802,-0.209416986,-0.16169548,-0.115751028,-0.151389301,-0.134342134,-0.095777094,-0.061477661,0,0.100464791,0.182210548,0.254982042,0.310129497,0.139433388,0.240412907,0.295937215,0.309793642,0.12944269,0.280238037,0.297431734,0.272831059,0.137401243,0.293701812,0.303744108,0.276658171,0.150895037,0.265296087,0.281418305,0.26784712
Rat,0,-0.031977713,-0.066861987,-0.105593503,-0.141898602,-0.080412894,-0.151509374,-0.18849647,-0.196291178,-0.084345222,-0.193627119,-0.216681242,-0.204267293,-0.089833796,-0.195208788,-0.212400794,-0.198960513,-0.095533788,-0.181240946,-0.204152286,-0.202234,0,-0.082456112,-0.134787709,-0.159212619,-0.165406585,-0.181033462,-0.246493071,-0.223058671,-0.186718464,-0.15008226,-0.172375798,-0.122710586,-0.091071784,-0.101355791,-0.109099388,-0.065818012,-0.043148816,-0.047914326,-0.057917237,-0.038851917,-0.027324498,0,0.057120413,0.105569124,0.132392645,0.125424206,0.044433951,0.081771374,0.117394626,0.137603521,0.011538863,0.052284837,0.089510173,0.111054003,-0.017941117,0.044129819,0.081184328,0.099307239,-0.035234451,0.038166434,0.075842887,0.09679091,0,-0.042240679,-0.111891627,-0.160822392,-0.190699458,-0.228693545,-0.271384597,-0.257934093,-0.23951447,-0.232435703,-0.297687054,-0.294805884,-0.282398462,-0.218943417,-0.266692281,-0.206983566,-0.15192914,-0.187860191,-0.18086201,-0.138254166,-0.100505233,0,0.097753552,0.173944585,0.237991592,0.268516691,0.133634645,0.234604978,0.307872795,0.338043028,0.126395598,0.275999277,0.351240622,0.368827084,0.137823826,0.286563236,0.325760552,0.317485135,0.152383907,0.251505497,0.297116314,0.307849503
Rat,0,-0.018573433,-0.04836157,-0.086178899,-0.121517271,-0.065541118,-0.139164388,-0.172212303,-0.172465891,-0.070792735,-0.174534172,-0.199519664,-0.189191371,-0.080192596,-0.182488427,-0.202072978,-0.191907004,-0.088771194,-0.172227576,-0.195311189,-0.192636132,0,-0.078295559,-0.127391219,-0.154306412,-0.168296576,-0.174215347,-0.235984981,-0.202010393,-0.159032404,-0.148953766,-0.180962235,-0.131621599,-0.0968346,-0.104637176,-0.128677964,-0.080678701,-0.04942444,-0.049369603,-0.072342724,-0.047824413,-0.027726471,0,0.066722378,0.12114419,0.145146832,0.116528824,0.077616081,0.107808903,0.135429814,0.154570982,0.036998153,0.059796795,0.089934096,0.108913258,-0.000986069,0.044539109,0.076428816,0.09089984,-0.02985771,0.030909851,0.060536489,0.07328634,0,-0.042353153,-0.113355577,-0.172905147,-0.196454525,-0.246806979,-0.314957619,-0.324213564,-0.317931712,-0.2466591,-0.339958966,-0.340178728,-0.327537328,-0.227995992,-0.300746739,-0.231863618,-0.168370545,-0.19171387,-0.210029602,-0.161079824,-0.116055787,0,0.092559343,0.170085866,0.232072201,0.239705681,0.160510214,0.259292275,0.331024602,0.363596075,0.145482672,0.283180089,0.356762603,0.37694843,0.146598333,0.284866925,0.316891351,0.306802684,0.154054175,0.245402712,0.27979425,0.280208546
Rat,0,-0.035951138,-0.068112642,-0.102356017,-0.135399938,-0.079348773,-0.148777097,-0.182268023,-0.189525962,-0.080691427,-0.181483716,-0.205938473,-0.200133577,-0.085837513,-0.18527028,-0.205527395,-0.200039119,-0.092906445,-0.17083776,-0.192454785,-0.194768846,0,-0.069657326,-0.122067928,-0.150242686,-0.166505516,-0.182432503,-0.240386188,-0.215071619,-0.176656425,-0.17035231,-0.176030725,-0.126713872,-0.092216343,-0.139856428,-0.136983424,-0.090003908,-0.058066368,-0.099150419,-0.094563425,-0.068118036,-0.046529531,0,0.063057452,0.115595609,0.137592018,0.10963136,0.071015626,0.098330021,0.122873455,0.139859408,0.034601152,0.056514114,0.082736045,0.100116223,-0.000529036,0.043186128,0.070202649,0.081839234,-0.028434187,0.027056277,0.053226113,0.064617366,0,-0.040923893,-0.106791556,-0.164627254,-0.19002068,-0.228865802,-0.294998676,-0.303961337,-0.296564966,-0.229860425,-0.316506922,-0.326092899,-0.322106183,-0.215481281,-0.280254722,-0.218774319,-0.161368072,-0.185908139,-0.205134869,-0.16114223,-0.119905174,0,0.1030937,0.184342314,0.240378816,0.246157063,0.157370594,0.253070053,0.317824958,0.350532139,0.129744343,0.276363038,0.350834682,0.378152457,0.114002872,0.269664597,0.304317064,0.300211005,0.108090582,0.226689422,0.262702502,0.269564819
Rat,0,-0.038319916,-0.069296569,-0.101736456,-0.132008463,-0.082117707,-0.153917104,-0.186099321,-0.192436218,-0.082765609,-0.185857922,-0.209893093,-0.204086646,-0.087332547,-0.189302176,-0.20936802,-0.204146355,-0.094151199,-0.172953367,-0.194750994,-0.198814765,0,-0.072211355,-0.126874954,-0.158769548,-0.180975556,-0.187423617,-0.243874013,-0.213164508,-0.171689689,-0.174219668,-0.17711401,-0.125918508,-0.090346545,-0.142090052,-0.13548395,-0.08871156,-0.056207448,-0.100224763,-0.092303872,-0.065456778,-0.043903351,0,0.060621589,0.114547521,0.135155976,0.106452137,0.072630316,0.096037537,0.116418242,0.131522447,0.034524173,0.053103775,0.077038437,0.09484145,-0.00199163,0.039157301,0.067242146,0.081092358,-0.031542137,0.021299407,0.05036515,0.065165818,0,-0.039432287,-0.105767369,-0.163166404,-0.188816905,-0.23424542,-0.300276518,-0.306191742,-0.298477381,-0.234328151,-0.32005778,-0.32680589,-0.321775734,-0.217883945,-0.277327299,-0.214169383,-0.155395567,-0.185244739,-0.203478694,-0.157863736,-0.115281224,0,0.10422998,0.185051829,0.236933233,0.23858949,0.161676318,0.256239273,0.316497934,0.347885521,0.131795002,0.278452175,0.350264818,0.378044279,0.114139328,0.268911265,0.303731541,0.301992395,0.105585467,0.223816848,0.261956046,0.273460324
